USB2G43178_1:101,,Capture_3:203,,Capture_4:204,,Capture_5:205,,Capture_6:206,
622,"8,0204",622,"469,72302",622,"952,82228",622,"60,9806",622,"1,00406"
623,"6,7587",623,"440,60262",623,"1057,6485",623,"53,29006",623,"5,74104"
624,"3,69917",624,"404,87052",624,"1146,49192",624,"53,49187",624,"2,27707"
625,"11,72961",625,"379,37116",625,"1280,44532",625,"51,9573",625,"7,92245"
626,"3,37073",626,"348,61689",626,"1368,26666",626,"46,97817",626,"5,91274"
627,"16,45417",627,"356,45437",627,"1499,3414",627,"66,23454",627,"9,94964"
628,"7,734",628,"316,0499",628,"1625,78911",628,"50,99808",628,"9,23028"
629,"10,21382",629,"286,41785",629,"1717,62847",629,"41,07488",629,"7,21375"
630,"7,33654",630,"283,96547",630,"1839,13829",630,"35,45888",630,"6,95559"
631,"13,83554",631,"255,98623",631,"1971,1389",631,"38,29819",631,"8,04489"
632,"4,223",632,"238,32071",632,"2049,08937",632,"42,01065",632,"9,12285"
633,"8,88481",633,"237,40744",633,"2153,34886",633,"34,90218",633,"6,1472"
634,"9,53063",634,"207,3977",634,"2231,6165",634,"37,51077",634,"9,91548"
635,"16,36824",635,"207,86667",635,"2377,2471",635,"32,53814",635,"11,19737"
636,"12,8651",636,"194,85773",636,"2447,08055",636,"32,5389",636,"7,2565"
637,"13,36825",637,"179,58905",637,"2498,06238",637,"30,60457",637,"14,79192"
638,"11,77771",638,"177,14972",638,"2581,11834",638,"27,99401",638,"18,98197"
639,"8,77891",639,"165,86283",639,"2612,63446",639,"31,10037",639,"15,33474"
640,"14,87671",640,"149,82109",640,"2669,60674",640,"26,3931",640,"11,29008"
641,"13,16545",641,"143,84042",641,"2726,82489",641,"23,99092",641,"15,43713"
642,"10,82229",642,"134,44415",642,"2698,97882",642,"21,41149",642,"9,86332"
643,"8,71884",643,"127,44853",643,"2737,393",643,"24,86116",643,"9,60485"
644,"15,0657",644,"124,33092",644,"2715,62757",644,"24,89726",644,"15,07073"
645,"17,15327",645,"118,35342",645,"2704,69777",645,"30,68691",645,"16,30138"
646,"20,22608",646,"117,1211",646,"2727,58023",646,"35,55515",646,"22,68477"
647,"16,68626",647,"96,69015",647,"2678,74396",647,"24,67644",647,"16,99125"
